2026/08/24 12:35:46.694, 0, NVIDIA GeForce RTX 4060 Ti, 0, 0, 32, 16380, 12.63, 38
2026/08/24 12:35:47.697, 0, NVIDIA GeForce RTX 4060 Ti, 0, 0, 32, 16380, 12.69, 38
2026/08/24 12:35:48.698, 0, NVIDIA GeForce RTX 4060 Ti, 0, 0, 32, 16380, 12.77, 38
2026/08/24 12:35:49.698, 0, NVIDIA GeForce RTX 4060 Ti, 0, 0, 32, 16380, 12.72, 38
2026/08/24 12:35:50.698, 0, NVIDIA GeForce RTX 4060 Ti, 0, 0, 32, 16380, 12.72, 38
2026/08/24 12:35:51.699, 0, NVIDIA GeForce RTX 4060 Ti, 0, 0, 32, 16380, 12.72, 38
2026/08/24 12:35:52.699, 0, NVIDIA GeForce RTX 4060 Ti, 0, 0, 32, 16380, 12.74, 38
2026/08/24 12:35:53.700, 0, NVIDIA GeForce RTX 4060 Ti, 0, 0, 32, 16380, 12.76, 38
2026/08/24 12:35:54.700, 0, NVIDIA GeForce RTX 4060 Ti, 0, 0, 32, 16380, 12.77, 38
2026/08/24 12:35:55.700, 0, NVIDIA GeForce RTX 4060 Ti, 0, 0, 32, 16380, 12.79, 38
2026/08/24 12:35:56.701, 0, NVIDIA GeForce RTX 4060 Ti, 0, 0, 32, 16380, 12.78, 38
2026/08/24 12:35:57.701, 0, NVIDIA GeForce RTX 4060 Ti, 0, 0, 32, 16380, 12.73, 38
2026/08/24 12:35:58.702, 0, NVIDIA GeForce RTX 4060 Ti, 0, 0, 35, 16380, 12.79, 38
2026/08/24 12:35:59.702, 0, NVIDIA GeForce RTX 4060 Ti, 0, 0, 35, 16380, 12.82, 38
2026/08/24 12:36:00.702, 0, NVIDIA GeForce RTX 4060 Ti, 0, 0, 35, 16380, 12.79, 38
2026/08/24 12:36:01.703, 0, NVIDIA GeForce RTX 4060 Ti, 0, 0, 35, 16380, 12.77, 38
2026/08/24 12:36:02.703, 0, NVIDIA GeForce RTX 4060 Ti, 0, 0, 35, 16380, 12.78, 38
2026/08/24 12:36:03.704, 0, NVIDIA GeForce RTX 4060 Ti, 0, 0, 35, 16380, 12.77, 38
2026/08/24 12:36:04.704, 0, NVIDIA GeForce RTX 4060 Ti, 0, 0, 35, 16380, 12.68, 39
